R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
0.0076293945312499965,6500000002.42442,0.24164370192136556,6500000002.182776
0.007954211620194338,6500000002.637442,0.26487365329170864,6500000002.372568
0.008292857610087275,6500000002.8673725,0.2884767531155638,6500000002.578896
0.008645921258441706,6500000003.114901,0.3117114738107955,6500000002.803189
0.009014016388783467,6500000003.384444,0.33748208409516456,6500000003.046962
0.00939778295782227,6500000003.676885,0.3650000944976594,6500000003.311885
0.009797888168057146,6500000003.9995985,0.3996965971609668,6500000003.599902
0.010215027627750188,6500000004.34577,0.43278921779235746,6500000003.912981
0.010649926560285562,6500000004.7226715,0.4694312897551523,6500000004.253241
0.011103341065016412,6500000005.134223,0.5111331818497977,6500000004.62309
0.011576059431791458,6500000005.583146,0.5579733242979512,6500000005.025173
0.012068903511446773,6500000006.0715885,0.609472125191993,6500000005.462116
0.012582730144645699,6500000006.600054,0.6629373593951999,6500000005.937117
0.01311843265155045,6500000007.168168,0.714700594181556,6500000006.453467
0.013676942384916,6500000007.790902,0.7762720297752864,6500000007.01463
0.014259230349305783,6500000008.468761,0.8441120036341817,6500000007.624649
0.014866308889244582,6500000009.209218,0.9215315119625217,6500000008.287686
0.0154992334492438,6500000010.006368,0.9979954805701795,6500000009.008372
0.01615910440875853,6500000010.882652,1.0908804825265404,6500000009.791772
0.016847068995266896,6500000011.82485,1.1815582764998254,6500000010.643291
0.01756432327879794,6500000012.852789,1.2839501502042507,6500000011.568839
0.018312114251374856,6500000013.972175,1.3973492811151123,6500000012.574825
0.01909174199498995,6500000015.189917,1.5215590421804082,6500000013.668358
0.019904561941879412,6500000016.5095005,1.6525271526062995,6500000014.856974
0.020751987231028057,6500000017.945413,1.7964787248669323,6500000016.148934
0.02163549116500126,6500000019.500477,1.9472088974577426,6500000017.5532675
0.022556609771374515,6500000021.197426,2.1176586132771025,6500000019.079767
0.023516944473214996,6500000023.042552,2.3036423363079104,6500000020.73891
0.02451816487325692,6500000025.046402,2.503972266424881,6500000022.54243
0.02556201165661155,6500000027.223998,2.7212839741719663,6500000024.502714
0.026650299617058858,6500000029.59447,2.9610240285719867,6500000026.633446
0.027784920812181365,6500000032.168832,3.2193080916417416,6500000028.949524
0.02896784785282598,6500000034.963884,3.4968746495856906,6500000031.46701
0.0302011373326133,6500000038.006378,3.80296806593605,6500000034.20341
0.03148693340345576,6500000041.310551,4.132847647635385,6500000037.177703
0.03282747150330144,6500000044.89982,4.489089179524649,6500000040.410731
0.03422508224258499,6500000048.808329,4.883486145909228,6500000043.924843
0.035682195456141104,6500000053.047429,5.3028505646141,6500000047.744578
0.037201344427626765,6500000057.664884,5.768416918469803,6500000051.896466
0.03878517029379526,6500000062.674728,6.265353966560566,6500000056.409374
0.04043642663627949,6500000068.126462,6.811670412850492,6500000061.314792
0.04215798426886878,6500000074.049445,7.4027304989588165,6500000066.646714
0.043952836228599815,6500000080.489331,8.047043383407177,6500000072.442287
0.045824102979341835,6500000087.490997,8.749098454106678,6500000078.741899
0.04777503783692059,6500000095.097308,9.507999131976606,6500000085.589309
0.049809032625213676,6500000103.372633,10.340501800767997,6500000093.032131
0.05192962357305197,6500000112.359193,11.236945386914137,6500000101.122248
0.05414049746217714,6500000122.127257,12.211480167663181,6500000109.915777
0.05644549803694512,6500000132.748759,13.274717902009645,6500000119.474041
0.058848632686919894,6500000144.293274,14.429812605012298,6500000129.8634615
0.06135407941397338,6500000156.842491,15.686164569969224,6500000141.156326
0.06396619409600723,6500000170.482645,17.051383276180754,6500000153.431262
0.06668951805992218,6500000185.302026,18.528503545288117,6500000166.773522
0.06952878597700235,6500000201.421243,20.14517823745659,6500000181.276065
0.07248893409444215,6500000218.934422,21.89474156761545,6500000197.03968
0.07557510881732377,6500000237.969245,23.795152122906895,6500000214.174093
0.07879267565596948,6500000258.663671,25.865175333824606,6500000232.798495
0.08214722855422098,6500000281.159012,28.116611440820513,6500000253.0424
0.08564459961486476,6500000305.607827,30.56112108908168,6500000275.046706
0.0892908692391132,6500000332.187594,33.22319466503185,6500000298.964399
0.09309237669776708,6500000361.0724945,36.11048523416923,6500000324.962009
0.09705573115243894,6500000392.472416,39.2522201659707,6500000353.220196
0.1011878231460004,6500000426.598541,42.66288406052989,6500000383.9356575
0.10549583658222722,6500000463.696451,46.37439795373991,6500000417.322053
0.1099872612154704,6500000504.018144,50.40647741836235,6500000453.611667
0.11466990567207035,6500000547.847729,54.790877810645824,6500000493.056851
0.1195519110261468,6500000595.483602,59.5516140265988,6500000535.931988
0.12464176495337391,6500000647.264697,64.72927162024281,6500000582.535425
0.12994831648734032,6500000703.5485115,70.3571746761382,6500000633.191337
